LPI Rank,Rd.Pick,Player,Pos (Rank),Team,Depth,LPI Proj PPG,Season VORP,Mkt ADP,Diff vs ADP,Draft Grade at ADP
1,1.01,Jahmyr Gibbs,RB1,DET,Starter,15.59,122.2,1.7,0.7,89
2,1.02,Bijan Robinson,RB2,ATL,Starter,15.34,118.2,1.3,-0.7,89
3,1.03,Ja'Marr Chase,WR1,CIN,Starter,13.71,72.6,3.0,0.0,88
4,1.04,Jonathan Taylor,RB3,IND,Starter,13.57,89.9,6.7,2.7,86
5,1.05,Puka Nacua,WR2,LAR,Starter,13.2,65.1,4.0,-1.0,87
6,1.06,De'Von Achane,RB4,MIA,Starter,14.07,97.9,13.3,7.3,88
7,1.07,Christian McCaffrey,RB5,SF,Starter,11.41,55.4,5.0,-2.0,82
8,1.08,James Cook III,RB6,BUF,Starter,13.33,86.1,9.7,1.7,86
9,1.09,Saquon Barkley,RB7,PHI,Starter,15.61,122.6,14.0,5.0,91
10,1.10,Jaxon Smith-Njigba,WR3,SEA,Starter,11.18,35.3,6.3,-3.7,84
11,1.11,Ashton Jeanty,RB8,LV,Starter,12.7,76.0,10.7,-0.3,85
12,1.12,Omarion Hampton,RB9,LAC,Starter,12.66,75.4,15.3,3.3,87
13,2.01,Amon-Ra St. Brown,WR4,DET,Starter,12.31,52.0,8.3,-4.7,86
14,2.02,Justin Jefferson,WR5,MIN,Starter,12.88,60.4,11.0,-3.0,87
15,2.03,CeeDee Lamb,WR6,DAL,Starter,12.16,49.8,11.3,-3.7,86
16,2.04,Derrick Henry,RB10,BAL,Starter,13.48,88.5,21.3,5.3,90
17,2.05,Chase Brown,RB11,CIN,Starter,11.89,63.0,15.0,-2.0,85
18,2.06,Brock Bowers,TE1,LV,Starter,11.7,61.6,20.7,2.7,93
19,2.07,Josh Jacobs,RB12,GB,Starter,14.01,97.0,28.3,9.3,92
20,2.08,Kyren Williams,RB13,LAR,Starter,12.62,74.7,28.7,8.7,90
21,2.09,Drake London,WR7,ATL,Starter,11.56,40.9,17.3,-3.7,86
22,2.10,Trey McBride,TE2,ARI,Starter,11.55,59.8,19.7,-2.3,92
23,2.11,Kenneth Walker III,RB14,KC,Starter,4.14,-61.0,19.7,-3.3,72
24,2.12,Breece Hall,RB15,NYJ,Starter,13.73,92.5,32.7,8.7,94
25,3.01,Josh Allen,QB1,BUF,Starter,19.44,30.4,21.7,-3.3,88
26,3.02,A.J. Brown,WR8,PHI,Starter,11.13,34.6,22.0,-4.0,86
27,3.03,Nico Collins,WR9,HOU,Starter,11.3,37.1,23.0,-4.0,86
28,3.04,Javonte Williams,RB16,DAL,Starter,11.5,56.8,31.3,3.3,89
29,3.05,Malik Nabers,WR10,NYG,Starter,12.63,56.7,35.0,6.0,92
30,3.06,Cam Skattebo,RB17,NYG,Starter,11.71,60.2,37.3,7.3,91
31,3.07,Travis Etienne Jr.,RB18,NO,Starter,11.67,59.5,39.3,8.3,91
32,3.08,Jeremiyah Love,RB19,ARI,Starter,11.26,53.0,25.0,-7.0,86
33,3.09,George Pickens,WR11,DAL,WR2,6.73,-30.2,25.3,-7.7,77
34,3.10,Bucky Irving,RB20,TB,Starter,11.59,58.2,44.3,10.3,92
35,3.11,Chris Olave,WR12,NO,Starter,7.94,-12.3,29.0,-6.0,80
36,3.12,Rashee Rice,WR13,KC,Starter,8.77,-0.2,29.3,-6.7,83
37,4.01,David Montgomery,RB21,HOU,Starter,11.81,61.8,51.3,14.3,94
38,4.02,Quinshon Judkins,RB22,CLE,Starter,12.4,71.2,47.7,9.7,94
39,4.03,Garrett Wilson,WR14,NYJ,Starter,11.54,40.7,42.3,3.3,91
40,4.04,D'Andre Swift,RB23,CHI,Starter,12.08,66.1,54.7,14.7,95
41,4.05,DeVonta Smith,WR15,PHI,WR2,6.98,-26.5,33.3,-7.7,79
42,4.06,Lamar Jackson,QB2,BAL,Starter,19.55,31.2,37.3,-4.7,89
43,4.07,Tee Higgins,WR16,CIN,WR2,7.83,-14.0,38.0,-5.0,82
44,4.08,Mike Evans,WR17,SF,Starter,11.3,37.1,60.0,16.0,92
45,4.09,Tetairoa McMillan,WR18,CAR,Starter,10.6,26.8,38.3,-6.7,88
46,4.10,Zay Flowers,WR19,BAL,Starter,10.19,20.8,41.0,-5.0,88
47,4.11,DJ Moore,WR20,BUF,Starter,11.06,33.6,52.3,5.3,91
48,4.12,Emeka Egbuka,WR21,TB,WR2,7.2,-23.3,42.0,-6.0,82
49,5.01,Jalen Hurts,QB3,PHI,Starter,19.85,33.3,63.7,14.7,91
50,5.02,Colston Loveland,TE3,CHI,Starter,8.99,29.0,42.3,-7.7,88
51,5.03,Terry McLaurin,WR22,WAS,Starter,10.96,32.1,53.3,2.3,91
52,5.04,Ladd McConkey,WR23,LAC,Starter,10.84,30.4,45.3,-6.7,90
53,5.05,Jayden Daniels,QB4,WAS,Starter,19.48,30.7,59.3,6.3,90
54,5.06,Tyler Warren,TE4,IND,Starter,8.99,29.0,52.3,-1.7,89
55,5.07,Tucker Kraft,TE5,GB,Starter,8.87,27.6,69.7,14.7,90
56,5.08,Brian Thomas Jr.,WR24,JAX,Starter,11.74,43.6,73.3,17.3,94
57,5.09,Rhamondre Stevenson,RB24,NE,Starter,10.77,45.1,76.3,19.3,93
58,5.10,Chuba Hubbard,RB25,CAR,Starter,11.44,55.8,77.0,19.0,95
59,5.11,Jaylen Waddle,WR25,MIA,Starter,8.84,0.9,49.3,-9.7,86
60,5.12,Luther Burden III,WR26,CHI,WR2,5.88,-42.7,49.3,-10.7,79
61,6.01,TreVeyon Henderson,RB26,NE,RB2,6.52,-22.9,49.7,-11.3,82
62,6.02,Sam LaPorta,TE6,DET,Starter,9.46,34.7,77.7,15.7,93
63,6.03,Drake Maye,QB5,NE,Starter,18.52,23.8,52.0,-11.0,89
64,6.04,Joe Burrow,QB6,CIN,Starter,17.45,16.1,51.0,-13.0,87
65,6.05,Tony Pollard,RB27,TEN,Starter,11.78,61.3,80.3,15.3,95
66,6.06,Kyle Pitts Sr.,TE7,ATL,Starter,8.34,21.2,72.7,6.7,90
67,6.07,Bhayshul Tuten,RB28,JAX,Starter,7.55,-6.4,56.0,-11.0,85
68,6.08,Davante Adams,WR27,LAR,WR2,8.02,-11.2,56.3,-11.7,84
69,6.09,Jameson Williams,WR28,DET,WR2,6.64,-31.5,57.0,-12.0,81
70,6.10,Caleb Williams,QB7,CHI,Starter,18.07,20.5,77.7,7.7,90
71,6.11,Jaylen Warren,RB29,PIT,Starter,9.09,18.2,69.0,-2.0,89
72,6.12,Courtland Sutton,WR29,DEN,Starter,10.36,23.3,87.7,15.7,93
73,7.01,Jadarian Price,RB30,SEA,Starter,7.69,-4.2,60.3,-12.7,86
74,7.02,Dak Prescott,QB8,DAL,Starter,17.62,17.3,82.7,8.7,90
75,7.03,DK Metcalf,WR30,PIT,Starter,9.93,16.9,84.7,9.7,91
76,7.04,George Kittle,TE8,SF,Starter,10.84,51.2,98.0,22.0,98
77,7.05,Chris Godwin Jr.,WR31,TB,Starter,10.23,21.3,91.3,14.3,93
78,7.06,Rome Odunze,WR32,CHI,Starter,8.69,-1.3,64.3,-13.7,86
79,7.07,J.K. Dobbins,RB31,DEN,Starter,12.06,65.8,92.3,13.3,97
80,7.08,Patrick Mahomes II,QB9,KC,Starter,18.31,22.2,100.7,20.7,92
81,7.09,Justin Herbert,QB10,LAC,Starter,17.44,16.0,79.3,-1.7,89
82,7.10,Travis Kelce,TE9,KC,Starter,10.06,41.8,101.3,19.3,96
83,7.11,Harold Fannin Jr.,TE10,CLE,Starter,7.19,7.4,66.7,-16.3,86
84,7.12,Christian Watson,WR33,GB,Starter,8.14,-9.4,66.7,-17.3,85
85,8.01,Brock Purdy,QB11,SF,Starter,18.67,24.8,103.7,18.7,92
86,8.02,Marvin Harrison Jr.,WR34,ARI,Starter,9.79,14.9,78.3,-7.7,90
87,8.03,Dalton Kincaid,TE11,BUF,Starter,7.85,15.4,105.3,18.3,91
88,8.04,Bo Nix,QB12,DEN,Starter,18.71,25.1,105.7,17.7,93
89,8.05,Carnell Tate,WR35,TEN,Starter,8.34,-6.4,71.7,-17.3,86
90,8.06,Jake Ferguson,TE12,DAL,Starter,7.07,6.0,110.7,20.7,89
91,8.07,Aaron Jones Sr.,RB32,MIN,Starter,11.7,60.0,114.3,23.3,99
92,8.08,RJ Harvey,RB33,DEN,RB2,6.45,-24.0,76.0,-16.0,84
93,8.09,Mark Andrews,TE13,BAL,Starter,9.44,34.4,116.0,23.0,96
94,8.10,Jared Goff,QB13,DET,Starter,17.35,15.3,116.0,22.0,92
95,8.11,Isaiah Likely,TE14,NYG,Starter,6.18,-4.7,105.3,10.3,86
96,8.12,Rico Dowdle,RB34,PIT,RB2,4.08,-61.9,78.0,-18.0,79
97,9.01,Dallas Goedert,TE15,PHI,Starter,6.11,-5.6,119.7,22.7,87
98,9.02,Trevor Lawrence,QB14,JAX,Starter,14.33,-6.4,84.0,-14.0,86
99,9.03,Jaxson Dart,QB15,NYG,Starter,14.15,-7.7,86.7,-12.3,86
100,9.04,Alec Pierce,WR36,IND,Starter,7.73,-15.5,84.7,-15.3,85
101,9.05,Kyle Monangai,RB35,CHI,RB2,5.54,-38.6,84.7,-16.3,82
102,9.06,Jordyn Tyson,WR37,NO,Starter,7.68,-16.2,85.7,-16.3,86
103,9.07,Parker Washington,WR38,JAX,Reserve,0.37,-123.8,86.3,-16.7,69
104,9.08,Michael Wilson,WR39,ARI,WR2,5.05,-54.9,87.0,-17.0,80
105,9.09,Matthew Stafford,QB16,LAR,Starter,13.61,-11.6,107.7,2.7,86
106,9.10,Zach Charbonnet,RB36,SEA,Starter,10.25,36.8,134.3,28.3,97
107,9.11,Kyler Murray,QB17,MIN,Starter,18.52,23.8,134.7,27.7,94
108,9.12,Oronde Gadsden II,TE16,LAC,Starter,5.85,-8.6,136.0,28.0,87
109,10.01,Jordan Love,QB18,GB,Starter,13.14,-15.0,135.7,26.7,86
110,10.02,Blake Corum,RB37,LAR,RB2,4.43,-56.3,94.7,-15.3,81
111,10.03,Makai Lemon,WR40,PHI,Starter,7.3,-21.8,95.0,-16.0,86
112,10.04,Baker Mayfield,QB19,TB,Starter,18.0,20.0,140.3,28.3,94
113,10.05,Hunter Henry,TE17,NE,Starter,9.3,32.8,142.3,29.3,97
114,10.06,Malik Willis,QB20,MIA,Starter,12.97,-16.2,138.7,24.7,86
115,10.07,Brenton Strange,TE18,JAX,Starter,5.67,-10.8,144.3,29.3,87
116,10.08,Tyler Shough,QB21,NO,Starter,12.67,-18.4,144.7,28.7,86
117,10.09,Aaron Rodgers,QB22,PIT,Starter,12.72,-18.0,147.5,30.5,87
